URL,YEAR,MAKE,MODEL,PRICE,STATE,ODOMETER,TRANSMISSION,FUEL,COLOR,CYLINDERS,CONDITION
https://orangecounty.craigslist.org//ctd/5896041689.html,2012,Toyota,Camry,$11500,California,88420,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//cto/5878025145.html,2011,Toyota,Camry,$8900,California,110514,automatic,gas,white,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5858889327.html,2014,Toyota,Camry,$15600,California,24000,automatic,gas,blue,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5895385178.html,2015,Toyota,Camry,$2000,California,unk,automatic,gas,silver,4 cylinders,like new,clean
https://orangecounty.craigslist.org//cto/5853588684.html,2014,Toyota,Camry,$16000,California,35000,automatic,gas,silver,4 cylinders,like new,clean
https://orangecounty.craigslist.org//ctd/5894924148.html,2013,Toyota,Camry,$13499,California,unk,automatic,gas,silver,4 cylinders,like new,clean
https://orangecounty.craigslist.org//ctd/5894744393.html,2015,Toyota,Camry,$16499,California,unk,automatic,gas,grey,4 cylinders,like new,clean
https://orangecounty.craigslist.org//ctd/5894659733.html,2014,Toyota,Camry,$13999,California,unk,automatic,gas,blue,4 cylinders,like new,clean
https://orangecounty.craigslist.org//ctd/5893403165.html,2015,Toyota,Camry,$20074,California,40415,automatic,gas,black,6 cylinders,unk,clean
https://orangecounty.craigslist.org//cto/5863134638.html,2014,Toyota,Camry,$12995,California,75000,automatic,gas,white,4 cylinders,good,clean
https://orangecounty.craigslist.org//cto/5852514227.html,2012,Toyota,Camry,$11995,California,93000,automatic,gas,red,4 cylinders,good,clean
https://orangecounty.craigslist.org//cto/5882938286.html,2011,Toyota,Camry,$11995,California,53000,automatic,gas,grey,4 cylinders,like new,clean
https://orangecounty.craigslist.org//ctd/5893293178.html,2011,Toyota,Camry,$11336,California,62947,automatic,gas,custom,4 cylinders,unk,clean
https://orangecounty.craigslist.org//cto/5873116316.html,2010,Toyota,Camry,$8700,California,113008,automatic,gas,unk,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5872207520.html,2011,Toyota,Camry,$11990,California,84000,automatic,gas,grey,4 cylinders,like new,clean
https://orangecounty.craigslist.org//ctd/5892892944.html,2015,Toyota,Camry,$14998,California,16770,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5892881395.html,2014,Toyota,Camry,$14998,California,28232,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5892511538.html,2012,Toyota,Camry,$14990,California,66900,automatic,hybrid,grey,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5892475071.html,2012,Toyota,Camry,$10995,California,unk,automatic,gas,red,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5892446190.html,2015,Toyota,Camry,$15993,California,38060,automatic,gas,silver,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5892439527.html,2015,Toyota,Camry,$14500,California,36278,automatic,gas,blue,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5892435948.html,2015,Toyota,Camry,$16362,California,25147,automatic,gas,white,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5892417571.html,2015,Toyota,Camry,$15785,California,40017,automatic,gas,silver,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5892359745.html,2015,Toyota,Camry,$14500,California,36278,automatic,gas,blue,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5892333996.html,2015,Toyota,Camry,$15200,California,unk,automatic,gas,black,unk,like new,clean
https://orangecounty.craigslist.org//ctd/5892293778.html,2015,Toyota,Camry,$21938,California,15,automatic,gas,red,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5892279916.html,2015,Toyota,Camry,$20999,California,17725,automatic,gas,grey,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5892268245.html,2015,Toyota,Camry,$15333,California,unk,automatic,gas,white,unk,like new,clean
https://orangecounty.craigslist.org//ctd/5892146507.html,2010,Toyota,Camry,$7897,California,99100,automatic,gas,white,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5891922130.html,2010,Toyota,Camry,$9900,California,unk,automatic,gas,unk,4 cylinders,like new,clean
